name;desc;latitude;longitude
Burg. van Kempensingel;Buslijn 35 Zone 5310 ;51,95994671;4,503162936
Burg. Van Kempensingel;Tramlijn 4 Zone 5310 ;51,95949;4,503390175
Burg. Van Walsumweg;Tramlijn 24, Tramlijn 21 Zone 5300 Halte is rolstoeltoegankelijk.;51,92163213;4,494205951
Burg. Van Walsumweg;Tramlijn 24, Tramlijn 21 Zone 5300 Halte is rolstoeltoegankelijk.;51,92169703;4,494466334
Burg. Verduynstraat;Buslijn 69 Zone 5316 ;51,89021564;4,390189975
Burg. Verduynstraat;Buslijn 69 Zone 5316 ;51,89023337;4,390160527
Burg. Verkadesingel;Buslijn 57 Zone 5329 ;51,91999423;4,348505792
Burg. Verkadesingel;Buslijn 57 Zone 5329 ;51,91999423;4,348505792
Burgdorfferstraat;Buslijn 66 Zone 5314 ;51,90688935;4,507142163
Burgdorfferstraat;Buslijn 66 Zone 5314 ;51,90760388;4,50653233
Burgemeester Bosstraat;Buslijn 33 Zone 5315 ;51,94276156;4,427653183
Burgemeester Bosstraat;Buslijn 33 Zone 5315 ;51,94255058;4,4271341
Burgemeester Meineszplein;Buslijn 38, BOB-buslijn 2 Zone 5300 ;51,91979749;4,446837989
Burgemeester Schalijlaan;BOB-buslijn 5 Zone 5300 ;51,95729679;4,587525394
Burgemeester Vogelaarsingel;BOB-buslijn 1 Zone 5300 ;51,96380023;4,60290614
Burggemeester van Haarenlaan;Buslijn 126, BOB-buslijn 2 Zone 5300 ;51,91118902;4,379928731
Busstation Krimp. ad Ijssel;Buslijn 97, Buslijn 96 Zone 5322 ;51,91254277;4,590211247
Busstation Nesselande Metro;BOB-buslijn 1 Zone 5300 ;51,9786524;4,586023936
Buys Ballotlaan;Buslijn 56 Zone 5329 ;51,91263106;4,316321696
C.N.A. Looslaan;BOB-buslijn 17 Zone 5300 ;51,95372485;4,492243754
C.N.A. Looslaan;Tramlijn 4 Zone 5310 ;51,95375914;4,492024854
C.N.A. Looslaan;Tramlijn 4 Zone 5310 ;51,95372485;4,492243754
Caïrostraat;Buslijn 42 Zone 5315 ;51,94145567;4,404498135
Capelle Centrum;Buslijn 31, Buslijn 37 Zone 5322 ;51,93211259;4,590445672
Capelle Centrum;Buslijn 31, Buslijn 37 Zone 5322 ;51,93187042;4,59052267
Capelle Centrum;Metrolijn A/B/C Zone 5322 Dit metrostation is toegankelijk met een rolstoel.;51,93116723;4,588892092
Capelle Centrum;Metrolijn A/B/C Zone 5322 Dit metrostation is toegankelijk met een rolstoel.;51,93116723;4,588892092
Capelle Centrum/Kerklaan;BOB-buslijn 4 Zone 5300 ;51,93061036;4,591606442
Capelsebrug;Metrolijn A/B/C Zone 5311 Dit metrostation is toegankelijk met een rolstoel.;51,92092308;4,556874711
